,precision,recall,f1-score,support
Business & Markets,0.8730769230769231,0.8798449612403101,0.8764478764478765,516.0
Energy,0.42857142857142855,0.13636363636363635,0.20689655172413793,22.0
Health,0.3157894736842105,0.25,0.27906976744186046,24.0
Politics,0.6829268292682927,0.6885245901639344,0.6857142857142857,122.0
Technology,0.5555555555555556,0.6818181818181818,0.6122448979591837,66.0
accuracy,0.7893333333333333,0.7893333333333333,0.7893333333333333,0.7893333333333333
macro avg,0.5711840420312821,0.5273102739172125,0.5320746758574689,750.0
weighted avg,0.7833319345894443,0.7893333333333333,0.7834157452347852,750.0
