,precision,recall,f1-score,support
Business & Markets,0.8869047619047619,0.8662790697674418,0.8764705882352941,516.0
Energy,0.4375,0.3181818181818182,0.3684210526315789,22.0
Health,0.4230769230769231,0.4583333333333333,0.44,24.0
Politics,0.7333333333333333,0.7213114754098361,0.7272727272727273,122.0
Technology,0.5238095238095238,0.6666666666666666,0.5866666666666667,66.0
accuracy,0.796,0.796,0.796,0.796
macro avg,0.6009249084249084,0.6061544726718192,0.5997662069612535,750.0
weighted avg,0.8019463980463979,0.796,0.797828479219439,750.0
