,precision,recall,f1-score,support
Business & Markets,0.8513011152416357,0.8875968992248062,0.8690702087286527,516.0
Energy,0.3333333333333333,0.09090909090909091,0.14285714285714285,22.0
Health,0.42105263157894735,0.3333333333333333,0.37209302325581395,24.0
Politics,0.7192982456140351,0.6721311475409836,0.6949152542372882,122.0
Technology,0.547945205479452,0.6060606060606061,0.5755395683453237,66.0
accuracy,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.7866666666666666
macro avg,0.5745861062494806,0.518006215413764,0.5308950394848443,750.0
weighted avg,0.7741716553099576,0.7866666666666666,0.7777047865769627,750.0
