,precision,recall,f1-score,support
Business & Markets,0.858195211786372,0.9031007751937985,0.8800755429650614,516.0
Energy,0.375,0.13636363636363635,0.2,22.0
Health,0.5,0.2916666666666667,0.3684210526315789,24.0
Politics,0.7669902912621359,0.6475409836065574,0.7022222222222222,122.0
Technology,0.6097560975609756,0.7575757575757576,0.6756756756756757,66.0
accuracy,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.8066666666666666
macro avg,0.6219883201218968,0.5472495638812834,0.5652788986989077,750.0
weighted avg,0.7958605963396973,0.8066666666666666,0.7968357215184471,750.0
