Category_or_Metric,precision,recall,f1-score,support
Business & Market,0.9012738853503185,0.9218241042345277,0.9114331723027376,307.0
Energy,0.625,0.38461538461538464,0.47619047619047616,13.0
Health,0.9230769230769231,0.8,0.8571428571428571,15.0
Politics,0.8082191780821918,0.7662337662337663,0.7866666666666666,77.0
Technology,0.6585365853658537,0.7297297297297297,0.6923076923076923,37.0
accuracy,0.8596881959910914,0.8596881959910914,0.8596881959910914,0.8596881959910914
macro avg,0.7832213143750575,0.7204805969626817,0.744748172922086,449.0
weighted avg,0.8580422428052717,0.8596881959910914,0.8575641890718874,449.0
